EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State
Bushfire - Linton (near Ballarat),Bushfire,Melbourne,-37.624644,145.00919,2,5,,,12,Northern Territory
"Bushfire - Sydney, Hunter, Pilliga",Bushfire,Sydney,-33.858419,151.178905,20,4,,,11,Northern Territory
Bushfire - Kangaroo Island,Bushfire,Kangaroo Island,-35.423574,136.914865,6,1,,17900000,12,South Australia
Bushfire - Dandenong Ranges and Mornington Peninsula,Bushfire,"Wilsons Promontory , Melbourne",-38.174782,145.260594,19,3,,29000000,1,Northern Territory
Bushfire - East Coast,Bushfire,Brisbane,-27.467217,153.057163,27,,,59100000,9,New South Wales
"Bushfire - North Coast, Hunter and Sydney",Bushfire,"Dubbo , Lismore (NSW) , Sydney",-31.868818,150.960456,27,4,,59000000,12,New South Wales
Bushfire - Western Sydney and Central Coast,Bushfire,Sydney,-33.852633,151.166832,16,2,,12000000,10,Northern Territory
Bushfire - Cootamundra and Deniliquin Regions,Bushfire,"Canberra (NSW) , Swan Hill (NSW)",-35.328995,146.309228,17,3,,,1,New South Wales
Bushfire - Central Victoria and Alpine Fires,Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.293156,145.092181,14,3,,,1,Victoria
Bushfire - North-Western Regions ,Bushfire,Bourke,-30.09,145.9375,1,4,,25000000,9,New South Wales
Bushfire - Ash Wednesday,Bushfire,"Wilsons Promontory , Adelaide , Melbourne",-37.423066,143.488281,16,75,,176000000,2,Northern Territory
Bushfire - Sydney and Southern Regions,Bushfire,Sydney,-33.913009,150.704277,1,3,,,1,Australian Capital Territory
Bushfire - Sydney and Wollongong,Bushfire,"Sydney , Wollongong",-34.191829,151.416539,3,5,,,11,Australian Capital Territory
Bushfire - Mount Lofty Ranges,Bushfire,Adelaide,-34.996748,138.67061,20,,,13000000,2,Northern Territory
Bushfire - Sydney and Region,Bushfire,Sydney,-33.528782,151.095311,1,5,,,12,Australian Capital Territory
Bushfire - Western Districts and Streatham ,Bushfire,Melbourne,-37.8136,144.9631,12,4,,9000000,2,Victoria
Bushfire - New South Wales 1974,Bushfire,"Bourke , Hillston , Swan Hill (NSW) , Sydney",-33.170939,146.560015,1,3,,,12,New South Wales
Bushfire - Lara and Melbourne Fringe,Bushfire,Wilsons Promontory,-38.830762,146.46792,8,23,,,1,Northern Territory
Bushfire - Blue Mountains and Illawarra,Bushfire,Sydney,-33.858767,151.207899,15,14,,,10,Western Australia
Bushfire - Black Tuesday Tasmania,Bushfire,"Hobart , Launceston",-42.187135,147.241698,7,62,,14000000,2,Tasmania
Bushfire - Gippsland,Bushfire,"Cooma (VIC) , Melbourne",-36.73991,147.536361,15,3,,,2,Victoria
Bushfire - Longwood District,Bushfire,Melbourne,-37.870356,144.593288,17,7,,,1,Victoria
Bushfire - Southern Victoria and Dandenong Ranges,Bushfire,Melbourne,-37.683973,144.87825,14,8,,,1,Victoria
Bushfire - Wandilo,Bushfire,Mount Gambier (SA),-37.829611,140.780382,5,8,,,4,South Australia
Bushfire - Blue Mountains and Sydney Region,Bushfire,Sydney,-33.833379,151.275825,30,4,,,11,Northern Territory
"Bushfire - Black Sunday, Mt Lofty Ranges",Bushfire,Adelaide,-35.074298,138.351656,2,2,,,1,South Australia
Bushfire - Narollah Station,Bushfire,Charters Towers,-19.915997,146.217101,14,3,,,11,Queensland
Bushfire - Central and Southern Victoria,Bushfire,Melbourne,-38.215299,144.514416,1,10,,,1,Victoria
Bushfire - Australian Capital Territory and South-West New South Wales,Bushfire,"Canberra (NSW) , Dubbo , Hillston",-33.513353,148.017902,1,13,,,11,New South Wales
Bushfire - Sydney and Southern New South Wales,Bushfire,"Cooma (NSW) , Sydney , Wollongong",-35.283889,150.834741,13,6,,,1,New South Wales
Bushfire - Black Friday ,Bushfire,"Wollongong , Canberra (ACT) , Mount Gambier (VIC) , Murray Bridge (VIC) , Wilsons Promontory , Mount Gambier (SA) , Launceston , Melbourne",-37.8136,144.9631,13,71,,,1,Victoria
Bushfire - Gippsland,Bushfire,Melbourne,-36.73991,147.536361,4,9,,,2,Australian Capital Territory
Bushfire - Central Western NSW and Southern QLD,Bushfire,"Brisbane , Canberra (NSW) , Dubbo , Lismore (NSW)",-30.951782,151.010452,1,8,,,10,New South Wales
Bushfire - South East Victoria,Bushfire,Melbourne,-37.815784,144.958754,1,60,,,2,Victoria
Bushfire - Saltern Creek,Bushfire,Longreach,-23.609965,144.232325,16,5,,,9,South Australia
Bushfire - Warenda Station Hughenden,Bushfire,Boulia,-22.912066,140.187821,29,3,,,9,Western Australia
Bushfire - Widespread Victoria,Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.866174,145.391067,1,12,,,1,Victoria
Cyclone Sigma ,Cyclone,"Brisbane , Townsville",-27.4698,153.0251,1896,18,,,1,New South Wales
Cyclone - Darwin,Cyclone,Darwin,-12.45321,130.838158,1897,28,,,1,Northern Territory
Cyclone - Gulf of Carpentaria,Cyclone,Mornington Island,-16.505537,138.883541,1887,7,,,3,Northern Territory
Cyclone Mahina,Cyclone,Cooktown,-15.536532,145.195549,1899,400,,,3,Queensland
Cyclone Veronica,Cyclone,Port Hedland,-20.218449,118.584975,20,,,26700000,3,Western Australia
Cyclone Marcus,Cyclone,Darwin,-12.470079,130.839774,15,,,75000000,3,Northern Territory
